,precision,recall,f1-score,support
0,0.7065217391304348,0.7558139534883721,0.7303370786516854,258.0
1,0.7469879518072289,0.6966292134831461,0.7209302325581396,267.0
accuracy,0.7257142857142858,0.7257142857142858,0.7257142857142858,0.7257142857142858
macro avg,0.7267548454688318,0.726221583485759,0.7256336556049126,525.0
weighted avg,0.7271016987203474,0.7257142857142858,0.7255530254955391,525.0
