Right_mean_margin,Right_std_margin,Right_min_margin,Right_max_margin,Right_median_margin,Right_skewness_margin,Right_kurtosis_margin,Left_mean_margin,Left_std_margin,Left_min_margin,Left_max_margin,Left_median_margin,Left_skewness_margin,Left_kurtosis_margin
171.87,193.312783491694,5,576,79.0,1.091645588836434,-0.29069742960119616,113.58,206.817069171049,0,1809,80.0,5.833460343760781,43.13709033454754
384.69,614.6321070650116,1,1908,45.0,1.4371592970608522,0.5981148617970371,179.3,204.92937869240785,53,1532,127.0,4.557827498899087,26.309898932244813
265.79,346.0457690412595,1,1384,60.0,1.3629867061769045,1.1665722932996907,311.45,303.2443787876894,12,1071,209.5,1.6336962749966415,1.4456846255037545
218.195,236.52540733837253,54,1475,88.0,2.3121285959362847,5.7833094111222785,202.04,201.58641774458792,61,1869,150.0,5.3921679350800105,40.02716440828492
103.45,129.47818543103145,1,1026,47.0,2.4961736692878675,11.858442292002932,253.71,329.32277990876077,0,1712,109.0,1.4883642614442663,1.6880128695862426
276.45,410.97159972301534,5,2170,63.5,1.7209321657700531,2.2929753429375417,533.465,418.01944939844265,318,2169,400.0,2.5316955052949446,4.996691145858025
130.255,213.279654515265,1,990,32.0,2.3660461390720546,5.4232280239371065,208.835,272.22911532596174,0,1056,88.5,2.063362320708057,2.928046848756786
145.155,211.06685448052122,1,895,61.5,2.146241764325943,4.027140686195222,446.085,572.8221923908651,46,1845,175.0,1.555997351076728,0.897567402091207
541.22,659.2707571675554,1,2194,228.5,1.7657726624639931,1.4693290781111612,660.2,709.6677472999525,152,2193,290.5,1.1726491581993561,-0.3135397664527324
249.44,334.5989520208742,10,1961,97.0,2.3381523531885837,6.952826809669036,432.365,508.1455216083806,0,1960,99.0,0.9316158109258584,-0.4210030577919883
513.955,724.0450949163059,24,2058,133.0,1.3260413149772976,0.11663110319676973,436.72,703.3356573032329,0,2057,50.0,1.6276906746653548,1.006195749578759
447.54,598.4051403186635,55,2269,128.5,1.8330893761404508,2.427365384360079,758.42,622.6464055398203,326,2268,413.5,1.2777855697237992,0.043292672106054475
203.595,383.06574868300396,12,2083,130.0,3.80926929206262,14.433052577017822,312.955,584.4598270387027,37,2082,93.0,2.3638828004939474,3.839365553920877
480.51,672.7401178992934,22,2201,177.5,1.7155833194103185,1.7114752085442673,512.27,649.6364712853805,83,2200,186.0,1.8374578021507264,1.962311031081014
85.745,119.38355052384061,4,793,53.0,2.455049047199235,7.3642565377409,424.785,477.770322624694,90,2104,163.5,1.9984982909405056,3.217068446366131
426.36,625.5547250000185,12,2175,115.0,1.6506993433569597,1.656902762346208,518.665,481.94196024023574,247,2174,307.0,2.6752143528114245,6.263808461715815
163.085,132.35583899313954,39,528,110.0,1.3076745911095229,0.8186399742687196,578.68,651.0012139024882,1,2222,362.0,1.020632230579918,-0.05221760716646928
200.445,291.8662820677308,23,1050,56.5,1.86573992040466,2.002959297558877,581.125,517.39026159075,1,1502,454.5,0.5018204996231299,-1.2217690224950708
157.18,82.66307227285914,67,403,129.5,1.1449859399288855,0.45832175341829995,570.12,634.0586149845935,0,2067,433.0,0.9663892507953925,-0.19222530835161677
167.05,149.72154220754277,16,1353,122.0,2.909013591409742,18.11878271636024,403.88,507.0330146942598,0,1882,213.0,1.6979349178147998,2.1297430423001478
502.4,731.2577517520666,16,2123,128.0,1.4872790704872452,0.5019432936020807,483.695,603.5017346234115,109,2122,243.5,2.254687954637531,3.3410017760067
368.99,465.20676755923745,14,1795,129.0,1.2403786859897405,0.17061920836143818,206.725,83.18768133944577,106,763,235.5,1.7481503246062557,8.711294631391068
556.26,647.8230048617759,89,2011,157.0,1.1402612603378925,-0.35561854254693515,552.745,570.8080668851007,153,1866,259.0,1.301315562577324,-0.0247892554428657
876.175,768.5786623214825,75,2160,629.5,0.7275149399211561,-0.9578276720357448,868.67,776.16040608878,170,2159,426.0,0.7500169351277449,-1.0522129756948666
119.48,185.66966830541605,1,921,36.5,2.461897968415477,6.664853226089413,332.38,524.7680086615159,31,2083,83.0,2.098536893288718,3.500998016123819
178.405,226.78219018238548,1,869,39.0,1.2794960336492232,0.5633385273828497,215.67,340.6714049207144,0,1575,68.0,2.4441331652787923,4.942519358014779
125.59,172.996592466514,1,956,51.0,2.8516086471757554,8.809416514284695,248.715,395.07428698433563,0,2082,85.0,2.395739292191283,5.045484830265034
232.44,549.1430843006003,1,2111,23.0,2.9857117145738186,7.39203070646243,474.67,636.7802497978897,36,2110,113.5,1.680691132372131,1.489205795274703
166.885,201.11036439811272,1,565,81.5,1.2779760132454099,-0.06963577559015377,471.515,374.72735787328554,157,1460,290.5,1.3937725008827795,0.7193346321453169
127.4,239.59287075911328,1,957,46.0,3.017269087770146,7.579740683163811,306.755,175.55203662394254,187,607,204.0,0.9841413673833991,-1.0045037610221812
106.49,68.72924008172248,38,308,106.0,1.7849923511858798,2.5666140353919316,143.945,233.3605745703827,3,1829,86.5,4.899270040035233,28.579395071660613
