,precision,recall,f1-score,support
0,0.5373134328358209,0.5625,0.549618320610687,256.0
1,0.5642023346303502,0.5390334572490706,0.5513307984790874,269.0
accuracy,0.5504761904761905,0.5504761904761905,0.5504761904761905,0.5504761904761905
macro avg,0.5507578837330855,0.5507667286245352,0.5504745595448872,525.0
weighted avg,0.5510907939457796,0.5504761904761905,0.5504957616518293,525.0
