,precision,recall,f1-score,support
0,0.6263736263736264,0.22265625,0.3285302593659942,256.0
1,0.5414746543778802,0.8736059479553904,0.6685633001422475,269.0
accuracy,0.5561904761904762,0.5561904761904762,0.5561904761904762,0.5561904761904762
macro avg,0.5839241403757534,0.5481310989776952,0.4985467797541209,525.0
weighted avg,0.5828730102462822,0.5561904761904762,0.502756712639922,525.0
