,precision,recall,f1-score,support
0,0.5328467153284672,0.5703125,0.550943396226415,256.0
1,0.5617529880478087,0.5241635687732342,0.5423076923076923,269.0
accuracy,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666
macro avg,0.547299851688138,0.5472380343866171,0.5466255442670536,525.0
weighted avg,0.5476577388741869,0.5466666666666666,0.54651862602806,525.0
