,precision,recall,f1-score,support
0,0.5975103734439834,0.5625,0.5794768611670019,256.0
1,0.6056338028169014,0.6394052044609665,0.6220614828209764,269.0
accuracy,0.6019047619047619,0.6019047619047619,0.6019047619047619,0.6019047619047619
macro avg,0.6015720881304424,0.6009526022304832,0.6007691719939892,525.0
weighted avg,0.6016726639226785,0.6019047619047619,0.6012964101668479,525.0
